API_Key,Master_API_Key,Usage_Date,Product_Group,SKU,Country_Code,Country_Name,Network_Code,Network_Name,Network_Type,Origin,Call_Type,Number_Type,Origination_Prefixes,Origination_Country_Region,Termination_Prefixes,Tier,Tier_Volume,Currency,Quantity,Usage,Invoice_Number
0df2bc5e,08edaef3,2026-6-1,Numbers Recurring Charges,Long Code Numbers (Voice),GB,United Kingdom,null,null,null,null,null,null,null,null,null,null,null,EUR,1,1.04,INV00182587
0df2bc5e,08edaef3,2026-6-1,Voice Service Usage,WebSocket,null,null,null,null,null,null,null,null,null,null,null,null,null,EUR,6646,0.46522,INV00182587
0df2bc5e,08edaef3,2026-6-1,Voice API Usage,VAPI - Outbound,GB,United Kingdom,23426,null,MOBILE,null,domestic,Landline,null,null,null,null,null,EUR,3708,5.75667,INV00182587
0df2bc5e,08edaef3,2026-6-1,Voice API Usage,VAPI - Outbound,GB,United Kingdom,23431,null,MOBILE,null,domestic,Landline,null,null,null,null,null,EUR,2064,3.20436,INV00182587
0df2bc5e,08edaef3,2026-6-1,Voice API Usage,VAPI - Outbound,GB,United Kingdom,23420,null,MOBILE,null,domestic,Landline,null,null,null,null,null,EUR,273,0.4238325,INV00182587
0df2bc5e,08edaef3,2026-6-1,Voice API Usage,VAPI - Outbound,GB,United Kingdom,23410,null,MOBILE,null,domestic,Landline,null,null,null,null,null,EUR,626,0.971865,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,US,United States,310090,AT&T Mobility,mobile,null,null,null,null,null,null,null,null,EUR,184,1.8768,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,US,United States,US-UNKNOWN,United States Unknown,mobile,null,null,null,null,null,null,null,null,EUR,3,0.02205,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,GB,United Kingdom,GB-FIXED,United Kingdom Landline,landline,null,null,null,null,null,null,null,null,EUR,450,21.7755,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,US,United States,US-FIXED,United States of America Landline,landline,null,null,null,null,null,null,null,null,EUR,32,0.2352,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,US,United States,US-VIRTUAL-BANDWIDTH,Bandwidth.com CLEC  LLC,virtual,null,null,null,null,null,null,null,null,EUR,7,0.05145,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,US,United States,310090,AT&T Mobility,null,null,null,null,null,null,null,null,null,EUR,16,0.1632,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,US,United States,310260,T-mobile USA  Inc.,mobile,null,null,null,null,null,null,null,null,EUR,64,0.6528,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,US,United States,310004,Verizon Wireless,mobile,null,null,null,null,null,null,null,null,EUR,181,1.8156,INV00182587
00528777,08edaef3,2026-6-1,SMS Outbound Usage,Outbound SMS,GB,United Kingdom,23431,EE Tmobile,mobile,null,null,null,null,null,null,null,null,EUR,29,1.40331,INV00182587
00528777,08edaef3,2026-6-1,SMS API Usage,Inbound SMS,null,null,null,null,null,null,null,null,null,null,null,null,null,EUR,1,0.0057,INV00182587
00528777,08edaef3,2026-6-1,SMS API Usage,Inbound SMS,US,United States,null,null,mobile,null,null,null,null,null,null,null,null,EUR,26,0.1534,INV00182587
00528777,08edaef3,2026-6-1,Numbers Recurring Charges,Long Code Numbers (Voice & SMS),US,United States,null,null,null,null,null,null,null,null,null,null,null,EUR,12,11.16,INV00182587
00528777,08edaef3,2026-6-1,Numbers Recurring Charges,Toll-free Numbers (SMS),US,United States,null,null,null,null,null,null,null,null,null,null,null,EUR,1,1.81,INV00182587
00528777,08edaef3,2026-6-1,Numbers Recurring Charges,Long Code Numbers (Voice),GB,United Kingdom,null,null,null,null,null,null,null,null,null,null,null,EUR,2,2.08,INV00182587
00528777,08edaef3,2026-6-1,Numbers Recurring Charges,Long Code Numbers (Voice & SMS),GB,United Kingdom,null,null,null,null,null,null,null,null,null,null,null,EUR,2,2,INV00182587
00528777,08edaef3,2026-6-1,Voice Service Usage,Standard TTS,null,null,null,null,null,null,null,null,null,null,null,1,1-10000,EUR,10000,0,INV00182587
00528777,08edaef3,2026-6-1,Voice Service Usage,Standard TTS,null,null,null,null,null,null,null,null,null,null,null,2,10001-30000,EUR,5200,0,INV00182587
00528777,08edaef3,2026-6-1,Voice Service Usage,WebSocket,null,null,null,null,null,null,null,null,null,null,null,null,null,EUR,193784,13.56488,INV00182587
00528777,08edaef3,2026-6-1,Voice API Usage,VAPI - Outbound,US,United States,310004,null,MOBILE,null,domestic,Mobile,null,null,null,null,null,EUR,8956,1.961364,INV00182587
